course,score,status,url
"Laboratorio de diseno de sistemas mecatronicos","-92",missing,""
"Robotica industrial","-1000000000",missing,""
"Laboratorio de robotica industrial","-92",missing,""
"Servicio social","-1",missing,""
"Optativa I area curricular de formacion profesional integradora","-1",missing,""
"Optativa II area curricular de formacion profesional integradora","-1",missing,""
"Proyecto integrador de ingenieria mecatronica","-67",missing,""
"Practicas profesionales","-1",missing,""
"Optativa III area curricular de formacion profesional integradora","-1",missing,""
"Seminario para el desempeno profesional","481",downloaded,"https://www.uanl.mx/wp-content/uploads/2026/05/2024AD_IF_430_PA_Seminario-para-el-desempeño-profesional.pdf"
"Optativa IV area curricular de formacion profesional integradora","-1",missing,""
